GO ID	P-Value
GO:0010467	2.995626332775429E-9
GO:1901575	3.106599107829087E-9
GO:0003677	4.270007580360887E-9
GO:0019222	6.059645784084797E-9
GO:0006793	6.186891265687943E-9
GO:0006950	8.480270853961029E-9
GO:0016772	2.2525330547101066E-8
GO:0043436	2.3031179982486526E-8
GO:0006082	2.3547666018025453E-8
GO:0006605	2.5919983808297652E-8
GO:0006796	2.6453321135744943E-8
GO:0009314	2.624924037244547E-8
GO:0044281	2.8512622858128103E-8
GO:0055114	2.880119389743476E-8
GO:0016773	3.03481905483006E-8
GO:0009889	3.122727245617815E-8
GO:0032774	4.6291273398667715E-8
GO:0016310	4.9409191306103116E-8
GO:0005634	5.515137387778327E-8
GO:0008219	6.417210532877274E-8
GO:0016301	7.567170743160177E-8
GO:0034641	7.738777866727945E-8
GO:0012505	8.006050509791693E-8
GO:0048518	8.389922208538734E-8
GO:0006955	8.473275476459139E-8
GO:0004672	9.318465952819536E-8
GO:0080090	9.503880579316065E-8
GO:0044271	1.0416417895445972E-7
GO:0009628	1.0593191689202077E-7
GO:0009893	1.0771830376289465E-7
GO:0006952	1.5366464995790442E-7
GO:0019752	1.5952523422856244E-7
GO:0006351	1.5886703763934525E-7
GO:0097659	1.6775777886077137E-7
GO:0002376	2.01472256035676E-7
GO:0006468	2.0349562116714214E-7
GO:0016462	2.2654803592581367E-7
GO:0016818	2.7623144639402875E-7
GO:0044265	2.8099081524937907E-7
GO:0016817	3.328309243540535E-7
GO:0044712	4.156582654282637E-7
GO:0034654	4.186776037407277E-7
GO:0006118	4.3681523087097007E-7
GO:1901362	4.839503527985787E-7
GO:0044257	4.818524990794545E-7
GO:0012501	5.492965685573886E-7
GO:0017111	6.317549465233124E-7
GO:0031347	7.546478617382932E-7
GO:0051171	8.730855344972628E-7
GO:0051186	8.921266625396116E-7
GO:0046872	9.090808405151359E-7
GO:0050776	9.560833613855158E-7
GO:0045088	9.560833613855158E-7
GO:2000112	9.834183061390118E-7
GO:0045087	1.016692292726041E-6
GO:0010556	1.0115836668220182E-6
GO:0002682	1.139629935289415E-6
GO:0051716	1.1397672124821042E-6
GO:0031326	1.1638816733639759E-6
GO:0043169	1.1629152116396623E-6
GO:0031323	1.2284585687578692E-6
GO:0010468	1.3649486988827204E-6
GO:0030163	1.5624866633042177E-6
GO:0080134	1.6593613919134797E-6
GO:0019438	2.7019171199963656E-6
GO:0051603	2.782816052321933E-6
GO:0018130	2.7895794640995607E-6
GO:0060255	3.4787466288009535E-6
GO:0043067	3.560684352686306E-6
GO:0010941	3.730104749590276E-6
GO:0042221	4.154765911631651E-6
GO:0009416	4.1832292076859914E-6
GO:0010363	5.281747990584742E-6
GO:0009719	5.259751246649073E-6
GO:0016874	5.6121126254439E-6
GO:0048583	6.7079904508399186E-6
GO:0009891	8.330483103579254E-6
GO:0071705	8.421742125355385E-6
GO:1902494	8.637638983743566E-6
GO:0034050	8.641314684356105E-6
GO:0009626	8.641314684356105E-6
GO:0016787	9.41373240923953E-6
GO:1901700	1.0613929711065787E-5
GO:0007154	1.0852994282948911E-5
GO:0080135	1.0850331784780183E-5
GO:0009057	1.1310747107933341E-5
GO:0016070	1.3120487568590678E-5
GO:0043603	1.3263825643744779E-5
GO:0044085	1.4290029713847038E-5
GO:0000988	1.4796448210666588E-5
GO:0032787	1.5139332231269754E-5
GO:0006355	1.6832362490709183E-5
GO:1903506	1.727714622984849E-5
GO:2001141	1.727714622984849E-5
GO:0006612	1.743014210242289E-5
GO:0044700	1.8283715336297152E-5
GO:0023052	1.9181956144868777E-5
GO:0006996	1.941274882432988E-5
GO:0009725	2.0504832907896132E-5
GO:0006091	2.056044840923712E-5
GO:0019219	2.0678115442036892E-5
GO:0009642	2.2231838633099316E-5
GO:0009963	2.2147324622762803E-5
GO:0008135	2.7087120864607107E-5
GO:0031981	3.159609007838246E-5
GO:0016627	3.163290260712725E-5
GO:0042623	3.287859140677607E-5
GO:0051252	3.286395550718192E-5
GO:0006366	3.365540597505499E-5
GO:0072657	3.487551546973632E-5
GO:0090150	3.487551546973632E-5
GO:0003899	3.487551546973632E-5
GO:0044802	3.554690148855703E-5
GO:0006518	3.597469682237192E-5
GO:0006457	3.637550177945748E-5
GO:0005576	3.7643699168618494E-5
GO:0000989	3.796325857403911E-5
GO:0022607	3.823235030877555E-5
GO:0010033	3.893742051238331E-5
GO:0006790	3.933386846518165E-5
GO:0043207	3.979248052154261E-5
GO:0051707	3.979248052154261E-5
GO:0009536	4.523368570680247E-5
GO:0034062	4.661150353225853E-5
GO:0097747	4.661150353225853E-5
GO:0043492	4.809624711615109E-5
GO:0098542	4.8671406409955536E-5
GO:0071310	5.228832715788978E-5
GO:0007165	5.397815715302177E-5
GO:0009607	5.4950293785651535E-5
GO:1901360	5.7064784799333316E-5
GO:0061024	5.658672910194757E-5
GO:0009962	5.685553270128559E-5
GO:0005667	6.118658923172997E-5
GO:0009404	6.645448161331639E-5
GO:0043232	7.05304189326632E-5
GO:0043228	7.75211078850494E-5
GO:0044428	9.572578168576361E-5
GO:0070887	9.557619211561104E-5
GO:0065008	9.646507017519284E-5
GO:0006725	1.0250265070942107E-4
GO:0046483	1.0332690357783622E-4
GO:0008177	1.0400449854884049E-4
GO:0009069	1.1668108587159583E-4
GO:0009644	1.2133873119719881E-4
GO:0070013	1.306546438195466E-4
GO:0043233	1.306546438195466E-4
GO:0031974	1.3213861677013303E-4
GO:0071944	1.3643859884296874E-4
GO:0006803	1.4156262392014948E-4
GO:0010026	1.4766790968426244E-4
GO:0006749	1.5484688747941557E-4
GO:0004197	1.5583298889031052E-4
GO:0000054	1.5567232136869837E-4
GO:0033753	1.5567232136869837E-4
GO:0033750	1.5567232136869837E-4
GO:0003950	1.5583298889031052E-4
GO:0072594	1.6011023250077374E-4
GO:0009507	1.6210248075963432E-4
GO:0004674	1.8761908732507947E-4
GO:0031967	1.9591181550654524E-4
GO:0004713	2.0332502754701534E-4
GO:0016887	2.0832804991046584E-4
GO:0005654	2.1018409261466117E-4
GO:0000104	2.1747417828851467E-4
GO:0051082	2.3127152316621403E-4
GO:0006511	2.3305810369918118E-4
GO:0033554	2.352622104954412E-4
GO:0033365	2.3979096923395837E-4
GO:0003712	2.4117126325493704E-4
GO:0019941	2.5273091354520867E-4
GO:0018193	2.7032461847337425E-4
GO:0048046	2.76989863824365E-4
GO:0009873	2.823531490225771E-4
GO:0043632	2.8466299603691514E-4
GO:0061615	2.8934430564546675E-4
GO:0045281	2.8934430564546675E-4
GO:0003924	2.919373963680549E-4
GO:0071369	3.045166280187156E-4
GO:0004364	3.045166280187156E-4
GO:0048037	3.042189028063877E-4
GO:0005743	3.0748855760838006E-4
GO:0065003	3.234089380203417E-4
GO:0005773	3.282264223112567E-4
GO:0003676	3.468453065447568E-4
GO:0043565	3.487043622491431E-4
GO:0046149	3.5214105407541097E-4
GO:0015996	3.5214105407541097E-4
GO:0005794	3.5889633595640824E-4
GO:0051604	3.5760969664373326E-4
GO:0006732	3.694947630195479E-4
GO:0010091	3.712172568470334E-4
GO:0071428	3.712172568470334E-4
GO:0005525	3.784348543544543E-4
GO:0003743	3.992192165882975E-4
GO:0032561	4.14538699592504E-4
GO:0006006	4.2207139159275843E-4
GO:0019001	4.297104719522167E-4
GO:0031975	4.419322260963066E-4
GO:0006787	4.61200638411813E-4
GO:0033015	4.61200638411813E-4
GO:0005945	4.630279011562124E-4
GO:0003872	4.630279011562124E-4
GO:0098796	4.697943250157512E-4
GO:0005215	4.7445435875788936E-4
GO:0005886	4.877066483697943E-4
GO:0016628	4.926269299169087E-4
GO:0006575	4.997853536106232E-4
GO:0007264	5.095806859117996E-4
GO:0051187	5.557587102343939E-4
GO:0016925	5.647114226538244E-4
GO:0045273	5.647114226538244E-4
GO:0061695	5.768842371679015E-4
GO:0006413	6.006255031282502E-4
GO:1902582	6.109974276465388E-4
GO:0051536	6.109974276465388E-4
GO:0051540	6.109974276465388E-4
GO:0009755	6.166017613983154E-4
GO:1990234	6.42302083210369E-4
GO:0043933	6.61777267266582E-4
GO:0009620	6.604764954483126E-4
GO:0035556	6.682471882514062E-4
GO:0001055	6.762033178708646E-4
GO:0006273	6.762033178708646E-4
GO:0032870	6.801170527168397E-4
GO:0000302	6.813314916094671E-4
GO:0001101	6.841555171121701E-4
GO:0071495	6.911773814218406E-4
GO:1902580	6.948064914281923E-4
GO:0031966	7.709753549919502E-4
GO:0072524	7.786694058425522E-4
GO:0019866	7.869274289622089E-4
GO:0016282	7.974393954175091E-4
GO:0042626	8.355367582235411E-4
GO:0042445	8.405653877763675E-4
GO:0072521	8.634765956913011E-4
GO:0055085	8.753912168494017E-4
GO:0030054	8.878206865181566E-4
GO:0009506	8.878206865181566E-4
GO:0005911	8.878206865181566E-4
GO:0055044	8.878206865181566E-4
GO:0006461	8.942539121369457E-4
GO:0070271	9.053972619285452E-4
GO:0044723	9.189993782561125E-4
GO:0001731	9.283557750568612E-4
GO:0005852	9.283557750568612E-4
GO:0051103	9.283557750568612E-4
GO:0006757	9.418036720087613E-4
GO:0046031	9.418036720087613E-4
GO:0006096	9.418036720087613E-4
GO:0034622	9.482923161868189E-4
GO:0046034	9.627666400196648E-4
GO:0009135	9.60312472396351E-4
GO:0009179	9.60312472396351E-4
GO:0009185	9.60312472396351E-4
GO:0015399	9.78303164829746E-4
GO:0015405	9.78303164829746E-4
GO:0005829	9.835838113634923E-4
GO:0016820	9.884740497014366E-4
GO:0005740	9.9813927524865E-4
GO:0070993	0.0010688888848606746
GO:0006508	0.0010606809287305831
GO:0090487	0.0010549595022095498
GO:0090558	0.0010569390892053974
GO:0009407	0.0010549595022095498
GO:0002183	0.0010688888848606746
GO:0033290	0.0010688888848606746
GO:0006002	0.0010688888848606746
GO:0010212	0.0011059593454292233
GO:0006165	0.0011182693087699494
GO:0009205	0.001138733808732911
GO:0018205	0.0011392865339896478
GO:0016591	0.0011584900892236533
GO:0032440	0.0011584900892236533
GO:0044451	0.0011605947965093134
GO:0009144	0.001165803929516037
GO:0030176	0.0012189754607517536
GO:0022616	0.0012189754607517536
GO:0008443	0.0012189754607517536
GO:0031227	0.0012189754607517536
GO:0006271	0.0012189754607517536
GO:0009199	0.0012939259557637616
GO:0006094	0.001294695619751583
GO:0009132	0.001318110979811934
GO:0019319	0.001318110979811934
GO:0032268	0.0013542876846255327
GO:0006465	0.0013785525454682345
GO:0030154	0.0013698612188332336
GO:0005764	0.0013785525454682345
GO:0009605	0.0013746203989500145
GO:0006081	0.0013697164615536779
GO:0010604	0.0013887901229911676
GO:0006139	0.0013914780718894053
GO:0005996	0.0014009858736056644
GO:0051246	0.0014328100299862078
GO:0016050	0.0014447066466231192
GO:0009259	0.0014423417409482203
GO:0050662	0.0014489322468104694
GO:0046906	0.001466508404674179
GO:0031325	0.0014864455242987
GO:0046364	0.0014908694080410431
GO:0009723	0.0015067794006722905
GO:0005730	0.0015168440174035598
GO:0009141	0.0015148418304184433
GO:0009126	0.001531678670823459
GO:0009167	0.001531678670823459
GO:0000323	0.001547557487473418
GO:0005665	0.001547557487473418
GO:0005975	0.0015472744716987163
GO:0071822	0.001583065585403114
GO:0042542	0.001635884127917058
GO:0042967	0.0016797393937511638
GO:0061659	0.00170294761113805
GO:0061630	0.00170294761113805
GO:0006097	0.001725927937285931
GO:0046487	0.0017717058377781398
GO:0042592	0.0017830655792031714
GO:0009055	0.0018249969665429676
GO:0009636	0.001825648380022229
GO:1903508	0.0018551170054346114
GO:1902680	0.0018551170054346114
GO:0001071	0.0018449075731425749
GO:0045893	0.0018551170054346114
GO:0003700	0.0018449075731425749
GO:0046939	0.0018551170054346114
GO:0003910	0.0019136018500111496
GO:0006261	0.001954891786126685
GO:0009161	0.00196084629009596
GO:0051254	0.0019792451597173276
GO:0015979	0.001979610906635304
GO:0005789	0.0020444857802177337
GO:0009123	0.002044132156218745
GO:0010090	0.002063988052174885
GO:0045935	0.002142808084430923
GO:0032502	0.0021631452871637884
GO:0042175	0.002184134835335387
