logFC	logCPM	F	PValue	FDR
comp431_c0_seq1	1.8226572689521	2.43586204985078	57.2590045931273	9.33592231398706e-09	5.97816130268261e-05
comp607_c0_seq1	1.42824937201918	1.54135323154188	56.311261540246	1.04659686671614e-08	5.97816130268261e-05
comp23616_c0_seq1	1.38112382020792	-0.819796117010105	51.1838792540502	2.87287848528344e-08	0.000109399212719593
comp4102_c0_seq1	2.51534088791106	-1.35337247899007	50.9014630022333	3.91574180406996e-08	0.000111833585924238
comp11869_c0_seq1	1.524491783664	-0.249845326314921	48.4766485652506	5.02281184423231e-08	0.00011476120501702
comp3889_c0_seq1	-2.89428253372969	0.0392351561619999	56.9154033539865	8.59067941402952e-08	0.000163566536043122
comp17578_c0_seq1	-3.42142898831257	0.964233445045993	56.9161775905756	1.15910346757495e-07	0.000189165685908231
comp4990_c0_seq1	1.08557210907225	1.45015575074299	42.1968788277341	1.98135416183769e-07	0.000282937374310422
comp527_c0_seq1	1.75793698429116	3.25832181328692	42.9610793566792	2.3502068486968e-07	0.000298319589327914
comp14309_c0_seq1	2.12308961153656	-0.142221385777619	40.615374467639	6.9171014674028e-07	0.000790209671636096
comp15785_c0_seq1	2.77430629021879	-2.1417622257746	36.8284878547029	8.42737738257661e-07	0.000854962963981144
comp213_c0_seq1	1.07112340832172	-0.193817190005497	35.8522308905355	8.98070340316327e-07	0.000854962963981144
comp83494_c0_seq1	-4.13681572344513	0.20035262652416	43.8879580994542	1.05846921214071e-06	0.000891030437441308
comp16957_c0_seq1	1.50128837397915	3.61068231932367	35.2194914933191	1.22333832823484e-06	0.000891030437441308
comp15085_c0_seq1	-3.41638488880715	-0.210961476808748	42.564104788724	1.24769231141949e-06	0.000891030437441308
comp12560_c0_seq1	-1.31416718780675	1.19056485419474	35.0031831920487	1.2744938611265e-06	0.000891030437441308
comp687_c0_seq1	1.01228734901838	0.138792995622968	34.3076921140054	1.32593815095433e-06	0.000891030437441308
comp8945_c0_seq1	-2.23030349759225	3.0802843536033	39.2901571090868	1.56005519120484e-06	0.000990115028018003
comp17081_c0_seq1	2.61571591028637	-1.67393935074293	35.2452089144408	1.6961389424283e-06	0.00101982585675268
comp10775_c0_seq1	1.10782691334772	-0.540244663644478	32.6525266309641	2.03410133724504e-06	0.00112379530213469
comp4358_c0_seq1	1.55988262367772	3.1505378582566	33.6920311635489	2.0658001877476e-06	0.00112379530213469
comp78387_c0_seq1	-1.86969160511239	-2.02780938948474	31.2032645116019	3.18941887657518e-06	0.00153456027583347
comp4940_c0_seq1	1.3507418848021	3.59477933679177	31.1450069417721	3.22759395680707e-06	0.00153456027583347
comp8544_c0_seq1	1.75570870767264	-1.32602236303488	31.0763281955182	3.32592409106439e-06	0.00153456027583347
comp2758_c0_seq1	1.19690530055858	-1.14340802255679	30.4800896735072	3.62928483795841e-06	0.00153456027583347
