GO ID	P-Value
GO:0055082	5.595230730125472E-10
GO:0009314	5.935271229349439E-10
GO:0051156	6.065037553124688E-10
GO:0071554	8.957923463229654E-10
GO:0019693	9.183435716746772E-10
GO:0018298	9.219250994649401E-10
GO:0043603	1.1047211603790235E-9
GO:0009658	1.1254622522466354E-9
GO:0009538	1.2060867382364541E-9
GO:0006644	1.6068264820375863E-9
GO:0031410	1.605407035811338E-9
GO:0097708	1.605407035811338E-9
GO:0016491	1.6196216538228565E-9
GO:0055086	1.6440175731340362E-9
GO:0019318	1.675824922303841E-9
GO:0031982	1.8217338282437055E-9
GO:0043623	1.8379074488152403E-9
GO:0031409	1.841838780139598E-9
GO:0043604	1.917837498056053E-9
GO:0034470	2.0013514134787463E-9
GO:0005996	2.5498060678308603E-9
GO:0033014	3.7012401695972516E-9
GO:1905392	3.804279127749336E-9
GO:0022607	4.02630032290964E-9
GO:0034622	4.588658786935533E-9
GO:0015995	4.624932009331484E-9
GO:0016051	4.895642119358408E-9
GO:0071944	5.061933852051425E-9
GO:0016114	5.607732171819417E-9
GO:0006461	7.725104863454982E-9
GO:0070271	7.93569457527289E-9
GO:0005985	9.291833155902814E-9
GO:0006721	1.0100136800421922E-8
GO:0010817	1.0589178335502248E-8
GO:0009888	1.062199639301033E-8
GO:0065003	1.1847005631585566E-8
GO:1901360	1.2002550441693533E-8
GO:0072330	1.3067936617040248E-8
GO:0009059	1.5508444263072742E-8
GO:0006779	1.6346180051291697E-8
GO:0090407	1.9146294400899135E-8
GO:0099402	1.9263579169464612E-8
GO:0005984	1.9815630963834157E-8
GO:0005829	2.2316330384429608E-8
GO:0044550	2.2791976114431536E-8
GO:0043167	2.4643745735397248E-8
GO:0034645	2.560901590840873E-8
GO:0016740	2.6146713028072274E-8
GO:0031977	2.644491522422026E-8
GO:0071822	2.683314308815406E-8
GO:0006412	2.9749019187174022E-8
GO:0030570	3.001450306494757E-8
GO:0043232	3.029208526820408E-8
GO:0046872	3.2506443732174736E-8
GO:0006812	3.532222147887197E-8
GO:0043228	3.526094079909466E-8
GO:1901575	3.6148776881777137E-8
GO:0055080	3.617041923419449E-8
GO:0045454	3.633950562555944E-8
GO:0043043	3.812071523319555E-8
GO:0006518	4.0529096255815606E-8
GO:0035304	4.241687872032381E-8
GO:0071555	4.2302384370355925E-8
GO:0009311	4.2956702267141105E-8
GO:0043169	4.4175993204963907E-8
GO:0035303	4.61669416590592E-8
GO:0043933	4.697208182047627E-8
GO:0009791	5.61062148912491E-8
GO:0050801	6.536911966524932E-8
GO:1902494	7.285334096083495E-8
GO:0045229	8.099289339944529E-8
GO:0016052	1.0321831844472783E-7
GO:0016837	1.1681042632015232E-7
GO:0051179	1.2879571103748808E-7
GO:1901362	1.409070010035394E-7
GO:0009056	1.498098669803573E-7
GO:0048869	1.721384797948079E-7
GO:0006725	2.0162642774970872E-7
GO:0048827	2.448213126817123E-7
GO:0006464	2.488783649864817E-7
GO:0036211	2.488783649864817E-7
GO:0045490	2.7893963842506945E-7
GO:0030154	3.304767885147497E-7
GO:0048878	3.8629346659221815E-7
GO:0006012	3.916836759016755E-7
GO:0016070	4.168471643180586E-7
GO:0090558	4.912892915062038E-7
GO:0043412	5.540578897724638E-7
GO:0000103	5.562806291548691E-7
GO:1901363	6.242930170275165E-7
GO:0097159	6.28624256389849E-7
GO:1901565	6.560277279403526E-7
GO:0016144	6.919633214898668E-7
GO:0019758	6.919633214898668E-7
GO:0019761	6.919633214898668E-7
GO:0015035	6.919633214898668E-7
GO:0010103	6.919633214898668E-7
GO:0009057	7.113166581559329E-7
GO:0051640	7.691239289669162E-7
GO:0070887	8.48485145662947E-7
GO:0016311	8.859817375570746E-7
GO:0046483	9.057011068043819E-7
GO:0000272	9.510883933308474E-7
GO:0016757	9.881812951093398E-7
GO:0016667	1.0548025472712725E-6
GO:0030076	1.2216009764206751E-6
GO:0019748	1.455773863305501E-6
GO:0090698	1.4767032748980112E-6
GO:0010374	1.6296193303162479E-6
GO:0009654	1.7339690771577211E-6
GO:0015036	1.8568821415249062E-6
GO:0051667	1.979840003484586E-6
GO:0009902	1.979840003484586E-6
GO:0009341	2.0188423309118505E-6
GO:0009773	2.0188423309118505E-6
GO:0019750	2.1093578478274074E-6
GO:0051644	2.1093578478274074E-6
GO:0098807	2.1315093488707955E-6
GO:0016143	2.245701397129644E-6
GO:0019760	2.245701397129644E-6
GO:0019757	2.245701397129644E-6
GO:0004565	2.415040501418934E-6
GO:0019898	2.539965038766154E-6
GO:0016671	2.554780744461081E-6
GO:0006118	2.6517213166811286E-6
GO:0034599	2.8011551333586763E-6
GO:0090626	2.846265524829523E-6
GO:0051234	2.9157114520084935E-6
GO:0008361	3.3765862183605986E-6
GO:1901700	3.4206542209753814E-6
GO:0019438	3.925664737494611E-6
GO:0044391	4.336395961334033E-6
GO:0015925	4.595611185688865E-6
GO:0009767	4.698020435482373E-6
GO:0010033	4.7825671509554415E-6
GO:0009269	5.085560804484428E-6
GO:0019222	5.179364355680721E-6
GO:0051656	5.31375636236286E-6
GO:0005509	6.370257801610889E-6
GO:0031323	6.662589919234722E-6
GO:1901657	6.908778271621851E-6
GO:1901659	7.318967506922809E-6
GO:0006979	8.755626302094347E-6
GO:0006662	9.04200480286068E-6
GO:0006811	9.836959170633385E-6
GO:0006816	9.953841944764828E-6
GO:0051174	9.974629878490892E-6
GO:0019220	9.974629878490892E-6
GO:0003825	9.930813900239031E-6
GO:0018904	1.0215622840708748E-5
GO:0018130	1.0275178013274E-5
GO:0006396	1.0841738225619554E-5
GO:0010393	1.1409021198562544E-5
GO:0045488	1.1409021198562544E-5
GO:0009651	1.314250991738787E-5
GO:0051716	1.3286277756458407E-5
GO:0031399	1.4526705118314903E-5
GO:0071435	1.5647098794951977E-5
GO:0006457	1.636645196034427E-5
GO:0048589	1.6797601131916348E-5
GO:0019685	1.7112333446868185E-5
GO:0040007	2.0545107965963397E-5
GO:0016705	2.220525963186118E-5
GO:0030246	2.2680968144974935E-5
GO:0007030	2.5362809369441584E-5
GO:0006027	2.64308809474551E-5
GO:0010015	2.7070157778596093E-5
GO:0004497	2.7991006710775267E-5
GO:1901617	3.262358661064329E-5
GO:0016762	3.321211234301277E-5
GO:0006139	4.031993059372411E-5
GO:0006636	4.102815191300709E-5
GO:0080090	4.151107820031417E-5
GO:0048437	4.285427073713434E-5
GO:0022626	4.378453485101279E-5
GO:0016758	4.383767393043816E-5
GO:0006952	4.602946127990122E-5
GO:0006970	4.6489352249785345E-5
GO:0030093	4.681805079514009E-5
GO:0048440	4.7574623040437075E-5
GO:0032880	4.811088627761953E-5
GO:0006470	5.172551789568865E-5
GO:0000313	5.220180801855175E-5
GO:0048467	5.2402484710056256E-5
GO:0042546	5.3107277653860676E-5
GO:0006810	5.8722897449860674E-5
GO:1990204	6.157105389868339E-5
GO:0009965	6.613224202116104E-5
GO:0009605	6.701926675751915E-5
GO:0010256	6.918229410476154E-5
GO:0009639	7.714047705402509E-5
GO:0004805	7.7727330890973E-5
GO:0010411	7.7727330890973E-5
GO:0006026	8.098471856577644E-5
GO:0033559	9.272992506571419E-5
GO:0048438	9.569673805056976E-5
GO:0006687	9.904442352750503E-5
GO:1903508	1.0353124248878426E-4
GO:1902680	1.0353124248878426E-4
GO:0045893	1.0353124248878426E-4
GO:0009926	1.056652237703534E-4
GO:0009725	1.093557201591568E-4
GO:0060255	1.0963484682164067E-4
GO:0035251	1.1099960640244955E-4
GO:0042044	1.1260119893702851E-4
GO:0042803	1.1260119893702851E-4
GO:0006833	1.1260119893702851E-4
GO:0022414	1.1265851647209275E-4
GO:0051254	1.1353479199594757E-4
GO:0000003	1.1375416179536295E-4
GO:0009908	1.2126756383156214E-4
GO:0045935	1.2712919039104757E-4
GO:0034637	1.2821926910116353E-4
GO:0070588	1.3284501101582078E-4
GO:0016126	1.353899914621477E-4
GO:0060918	1.353899914621477E-4
GO:0009914	1.353899914621477E-4
GO:0071804	1.353899914621477E-4
GO:0071805	1.353899914621477E-4
GO:0006351	1.4457226109401117E-4
GO:0009072	1.4572650425795342E-4
GO:0046527	1.4741188367262202E-4
GO:0090567	1.4838100114398066E-4
GO:0097659	1.5062378237634723E-4
GO:0048481	1.5232426862909408E-4
GO:0035670	1.5232426862909408E-4
GO:0032774	1.5328539376584645E-4
GO:0042793	1.6134158581986222E-4
GO:0010628	1.6171214373543477E-4
GO:0010557	1.6171214373543477E-4
GO:0009719	1.6532201451619882E-4
GO:0050793	1.6810023006487345E-4
GO:0042445	1.68234987903947E-4
GO:0031328	1.68748090109518E-4
GO:0009637	1.7073812589462744E-4
GO:0016874	1.800656108124268E-4
GO:0051173	1.8356300765964958E-4
GO:0005992	1.8755789354687455E-4
GO:0061458	1.9318533130813068E-4
GO:0048608	1.9318533130813068E-4
GO:0003006	1.9329717458711315E-4
GO:0042802	1.941735860038904E-4
GO:0048638	2.0110947119836715E-4
GO:0016829	2.2698180952231383E-4
GO:0009891	2.4390583199067047E-4
GO:0046486	2.569315243698127E-4
GO:0003723	2.7427421682480455E-4
GO:0008194	2.795587242208216E-4
GO:0048364	2.8724538459321057E-4
GO:0022622	2.8724538459321057E-4
