logFC	logCPM	F	PValue	FDR
comp30495_c0_seq1	-8.18246131785633	14.0710248082709	169.966506912367	9.57618303884983e-13	4.87688885305789e-11
comp49408_c0_seq1	-7.20897826560232	7.20744128778016	165.688696211245	1.27000249466849e-12	6.14443218431996e-11
comp107550_c0_seq1	-6.60882535570156	7.4102488602694	165.661370540238	1.27232083788132e-12	6.14443218431996e-11
comp107203_c0_seq1	-5.91418486654787	7.44451050260491	164.128574491425	1.40997060466232e-12	6.6937757011172e-11
comp15903_c0_seq1	-7.00601085728347	6.49498975486008	160.502751555126	1.80387072375149e-12	8.4210698287132e-11
comp31148_c0_seq1	-7.9214839850714	13.5508840886388	158.96386771945	2.00564125676628e-12	9.20951009869237e-11
comp6853_c0_seq1	-7.95640231628977	12.6330200459148	159.643109973386	2.7595710632183e-12	1.24670299162491e-10
comp48162_c0_seq1	-6.89590380498211	6.88166268264484	152.659644190631	3.12624532768132e-12	1.38993859727546e-10
comp56763_c0_seq1	-6.51628850026442	8.49575935578792	156.876604252107	3.33048645332049e-12	1.43679462290491e-10
comp118173_c0_seq1	-6.26865363592868	7.78430036417088	151.763081144459	3.33422529413849e-12	1.43679462290491e-10
comp50878_c0_seq1	-5.97275897173329	6.55323484557899	150.876162459962	3.55472955726906e-12	1.50860568028949e-10
comp92623_c0_seq1	-6.43633362367491	7.31300920284037	148.625691742821	4.18806437541289e-12	1.75086094261664e-10
comp127315_c0_seq1	-5.4163824023567	7.24718034128813	144.989442482645	5.4834158703911e-12	2.25868350778904e-10
comp123466_c0_seq1	-4.76058861955409	7.69174677764167	141.602114984876	7.08538769548188e-12	2.87625665725286e-10
comp22866_c0_seq1	-8.05611248253363	7.35284095575929	140.660625675737	7.61564246895524e-12	3.04734493650623e-10
comp100678_c0_seq1	-5.53092468881509	6.83680702477923	136.335369012367	1.06668909435572e-11	4.20816359618361e-10
comp42721_c0_seq1	-9.00470688056111	10.0473816331526	154.703374869136	1.11604303546958e-11	4.34171741993095e-10
comp114434_c0_seq1	-5.43108220899393	6.93025018588872	133.20503767788	1.3690669236646e-11	5.18210331511425e-10
comp85206_c0_seq1	-5.7064191533786	6.83658764915357	132.117588389231	1.49479885283453e-11	5.58257544905269e-10
comp83562_c0_seq1	-7.72780916401499	10.4802109723219	143.232635183058	1.75435595690562e-11	6.4657250464377e-10
comp62531_c0_seq1	-5.71584275746821	6.52664063982282	128.741473765249	1.97135273562384e-11	7.17111560062645e-10
comp60073_c0_seq1	-6.08819592139054	7.10156721860017	125.730558792201	2.53633684869973e-11	9.10805065795888e-10
comp62923_c0_seq1	-5.47798104815464	6.82883921315425	125.228325099466	2.64652652987775e-11	9.26615101273448e-10
comp60113_c0_seq1	-6.20612145796669	7.04303223125766	123.220271009249	3.14157344811434e-11	1.08351340455386e-09
comp87124_c0_seq1	-5.71476109506706	7.54300105433106	122.552469960918	3.32765671053977e-11	1.12298390918336e-09
comp99974_c0_seq1	-5.91022570791876	6.94428999707454	121.320230524048	3.70299567572438e-11	1.2202459867887e-09
comp91508_c0_seq1	-6.13304363222703	7.12232654359739	119.216375746184	4.45364687634463e-11	1.45054243030713e-09
comp40316_c0_seq1	-5.99939295307356	7.61813924223174	114.561070164787	6.76647046959953e-11	2.17849238912049e-09
comp128701_c0_seq1	-4.42371559512765	6.59864961138113	114.304082046471	6.9273415225144e-11	2.20494131870032e-09
comp62481_c0_seq1	-5.51727496056379	6.75490759616719	112.246392215583	8.37457790188429e-11	2.63563962957055e-09
comp110381_c0_seq1	-5.29010495518505	7.13561189804744	111.133390841514	9.29075444250468e-11	2.89148924371729e-09
comp43902_c0_seq1	-5.20662457855891	6.76497124060075	105.20008694044	1.64005143151579e-10	4.99324354312578e-09
comp122386_c0_seq1	-4.92141274882582	6.67607344101709	102.761091707357	2.08744860396314e-10	6.28703606419437e-09
comp134253_c0_seq1	-5.99862087610655	8.23517659761438	103.316286977859	2.58698350578146e-10	7.62981478578086e-09
comp126938_c0_seq1	-4.99870831490192	6.9405656192411	99.9165539368393	2.78208029549987e-10	8.11729886218243e-09
comp38514_c0_seq1	-7.41403450687462	15.7639132741101	92.9934709831809	7.38584587426964e-10	2.06877542938293e-08
comp123594_c0_seq1	-4.18625635294452	6.216183843125	86.4703563727439	1.19056522261713e-09	3.3017556322283e-08
comp67122_c0_seq1	-6.13295403669244	9.74425674983551	92.9431629249664	1.63470106152577e-09	4.44543463430454e-08
comp1514_c0_seq1	-5.31743540558649	5.96020675594445	77.4444455380495	3.50210021013178e-09	9.3422692272182e-08
comp1852_c0_seq1	-6.90639514252737	11.9042732869832	86.3901921974432	3.8132154636942e-09	9.98207150823126e-08
comp10182_c0_seq1	-5.22527949524611	8.21554450608641	70.5665899245775	1.70568454563148e-08	4.30416433541782e-07
comp76413_c0_seq1	-4.44374847168053	6.67626637115149	63.765024626265	2.19174549347632e-08	5.43281338692671e-07
comp3889_c0_seq1	-6.05255196857909	7.13587124389402	61.3198396387714	5.64234156381861e-08	1.36243092415999e-06
comp2022_c0_seq1	-6.04071124315922	8.33752545114362	57.8954282010955	1.48497160927073e-07	3.4952987206448e-06
comp4957_c0_seq1	-5.61833616213698	7.25464014224714	53.3222939856943	1.59771015342531e-07	3.72932178312024e-06
comp10086_c0_seq1	-8.02125699702961	12.1563883197092	53.4551367500579	4.17820756413432e-07	9.43803176382276e-06
comp1910_c0_seq1	-4.44468285873542	10.3296639239883	43.4169443025899	1.85890449717366e-06	3.71913678327388e-05
comp8837_c0_seq1	-4.10733380438017	7.34543156598289	26.8431910038111	3.64620973962437e-05	0.000508111118442183
comp3985_c0_seq1	-5.14002164867153	8.23687221943275	25.2771283935032	7.43344056578079e-05	0.000921286151537699
