logFC	logCPM	F	PValue	FDR
comp21405_c0_seq1	-5.3628197367708	-1.09233592200691	96.3121412646622	2.88124408842317e-11	3.67272183951302e-07
comp10637_c0_seq1	4.19614535423845	-1.42171618505812	66.1002006326167	2.69941624100957e-10	1.72047294120745e-06
comp5500_c0_seq1	3.91613019098528	-0.963463505626317	53.3066023641146	5.31118578277695e-09	2.25672283910192e-05
comp18009_c0_seq1	3.41165349501529	-1.24242498246484	47.884064101331	1.52765203008796e-08	4.86824510688282e-05
comp4466_c0_seq1	3.084206826837	-1.49820235662353	45.6746994820883	2.63442885698291e-08	6.71621292799224e-05
comp71828_c0_seq1	3.11438850518741	1.19352800530251	46.7358088060617	3.94096252830636e-08	7.50763984717658e-05
comp13703_c0_seq1	2.2459926107112	0.430421935622633	43.9002343195942	4.12281155803217e-08	7.50763984717658e-05
comp5086_c0_seq1	4.85068155046876	-1.91881750159386	42.7171966623219	5.58672119054325e-08	8.90174187698184e-05
comp4848_c0_seq1	-3.08570238561144	-2.0058021949456	39.5277582908231	2.41992642328441e-07	0.000342742245751182
comp42817_c0_seq1	-2.38197919250865	-0.503066259714966	37.3724663123903	5.08621437207762e-07	0.000631342837096877
comp2641_c0_seq1	-1.51231126383655	-1.5629651693356	34.3640251601581	5.4481612991807e-07	0.000631342837096877
comp55499_c0_seq1	-1.37697439522154	1.61923216508571	33.7985987321863	6.41460272450451e-07	0.000681391174410491
comp14896_c0_seq1	-4.01049151137643	-3.63601782778358	33.4179235625257	7.16514721491076e-07	0.000702570242680519
comp23731_c0_seq1	-1.59038809368674	0.102172747658586	33.0788321528941	7.91120480257442e-07	0.000720315197274401
comp75036_c0_seq1	-1.56011257217026	2.15655496950572	32.6583962190335	8.95075142123728e-07	0.000760634855776744
comp24313_c0_seq1	3.12850359891022	-1.34626918460743	31.3772880584151	1.47951855897279e-06	0.00117871394195164
comp11935_c0_seq1	-1.41158274796337	-0.403447696354917	30.5755345969858	1.66794296986094e-06	0.00121893714921242
comp12573_c0_seq1	-1.46048868612126	-1.57707761250131	30.4718633126689	1.72125744769934e-06	0.00121893714921242
comp16321_c0_seq1	4.00120387817446	-1.89941700036336	30.2714934841299	1.8294216007358e-06	0.00122734932339891
comp7793_c0_seq1	3.70733656700291	-2.62812009723468	29.9410013122169	2.02366113770623e-06	0.0012695564949302
comp10451_c0_seq1	1.17240192175842	0.298980279656815	29.8333091566371	2.09152635079111e-06	0.0012695564949302
comp50508_c0_seq1	2.84366855785843	-1.92996571048965	29.3478885166919	2.42836954481126e-06	0.00140701939035042
comp13688_c0_seq1	2.04932188557603	-0.387043734013339	29.0372099838355	2.67339499171804e-06	0.00148164199823608
comp42322_c0_seq1	-2.34363261739133	-2.94920767138936	28.8806655959185	2.80654229695054e-06	0.00149062477746785
comp5678_c0_seq1	3.94844988628361	-2.31981406748456	28.7285954794468	2.94254740363434e-06	0.00150034607016508
comp16282_c0_seq1	1.8929611998439	-1.43621829313152	27.9442209106986	3.76243985820164e-06	0.00184460849509601
comp100748_c0_seq1	-1.4880138858328	0.157371645922059	27.7700099379799	3.97510239138923e-06	0.0018766900067792
comp17965_c0_seq1	3.23249534896842	-1.85336065481623	27.5044475680408	4.46171045227347e-06	0.0020311936833975
comp17198_c0_seq1	-1.84956286811558	-2.25473704073525	26.6059473027734	5.76142224985119e-06	0.00253244308340873
comp12443_c0_seq1	1.38931734635624	-0.576315107203095	26.1216334915471	6.73659035747802e-06	0.00286237724289241
comp3410_c0_seq1	-1.15628359117077	0.842609213483866	25.3670030147744	8.61543839077725e-06	0.00354261268281412
comp16000_c0_seq1	-2.55609068199781	-3.26469330124797	24.7128816132963	1.06884713425702e-05	0.0041871402693549
comp23379_c0_seq1	1.58249951399721	-1.3282419969233	24.6528432489831	1.09033245635921e-05	0.0041871402693549
comp927_c0_seq1	1.19150642036079	0.7008397507629	24.477098141406	1.15586601388207e-05	0.0041871402693549
comp45758_c0_seq1	2.50954825784462	-2.45838287849578	24.4515535586139	1.16572964697044e-05	0.0041871402693549
comp7460_c0_seq1	1.34471985303153	0.201822404975319	24.4085625759395	1.18252961243254e-05	0.0041871402693549
comp25112_c0_seq1	-1.70140740841233	-0.789396507647707	24.6274462389066	1.28596796811677e-05	0.00443033342961743
comp397_c0_seq1	-1.27387240411425	-1.07417713035067	23.7815582455676	1.45858969824973e-05	0.0048928007588393
comp20241_c0_seq1	2.66772641581882	-1.9959209261313	23.5230951966265	1.59134728922433e-05	0.00520125740916476
comp4279_c0_seq1	1.47993852780731	-0.87246079761176	23.4181032944038	1.6488396990764e-05	0.00525443991103172
