logFC	logCPM	F	PValue	FDR
comp9838_c0_seq1	7.00594498847256	1.07669292487298	170.33576849399	1.06380687354002e-16	1.35603462170146e-12
comp397_c0_seq1	6.20518053934175	-1.07417713035067	111.106021817841	1.3468132543475e-13	8.58391427658377e-10
comp18131_c0_seq1	4.66725927625371	-1.48520585547284	66.6755628806405	2.40374335128222e-10	1.02135054995981e-06
comp1698_c0_seq1	-2.09316150206274	1.00895369236929	59.1214530080421	1.16092868228915e-09	3.69958947828494e-06
comp2641_c0_seq1	3.02686178324007	-1.5629651693356	57.6671549601933	1.59354643905596e-09	4.06258729172925e-06
comp5778_c0_seq1	6.70689853708731	-2.58357976192402	53.1564174158393	7.58853225770393e-09	1.6121836781492e-05
comp5086_c0_seq1	-3.1565756179018	-1.91881750159386	50.104973650752	8.95364717293563e-09	1.63045915019158e-05
comp46_c0_seq1	2.27038379944795	4.5507165433498	45.1610113520147	2.99625923255055e-08	4.77416455466524e-05
comp8152_c0_seq1	-1.86830542547092	-1.12658689204128	43.8380205443864	4.18877441137997e-08	5.93270082465116e-05
comp9997_c0_seq1	1.87503300361189	-0.400824820575206	40.8589853388303	9.08394484529912e-08	0.000115793044943028
comp3410_c0_seq1	1.80952845774402	0.842609213483866	39.2436231417313	1.39883797870835e-07	0.000162099888314504
comp12301_c0_seq1	1.91687527592703	-0.0289221298887581	36.848249384524	2.69737263013159e-07	0.000286528407635728
comp112467_c0_seq1	-2.09102788335471	-1.48068342050469	35.7298916880653	3.69098874601618e-07	0.000361915642657448
comp4719_c0_seq1	1.19301432732844	1.82545003265775	34.1398909863865	5.81162279487795e-07	0.000529148255473638
comp17715_c0_seq1	-2.03911995929356	-1.53815505646037	33.3190697079901	7.37471335176114e-07	0.000626703140632662
comp48838_c0_seq1	-1.70023431956001	0.778163804729742	32.690602493421	8.86627696883037e-07	0.000686335996629927
comp7723_c0_seq1	2.35265123801364	-1.03041809931143	32.5824521840204	9.15330033945929e-07	0.000686335996629927
comp35004_c0_seq1	-2.29215188741017	-0.754564727804506	33.3381307831043	1.0600806290317e-06	0.000718769796490508
comp68330_c0_seq1	2.38796008401458	-1.93101835492531	32.0505192442614	1.07136001673489e-06	0.000718769796490508
comp4358_c0_seq1	-2.2460772026633	3.45738045673181	33.2947316450921	1.13732885075413e-06	0.000724876543028147
comp20490_c0_seq1	-2.57031381129266	-2.33320838419525	30.6885798929776	1.61177392718106e-06	0.000978346773798901
comp22802_c0_seq1	-2.29224079140709	-1.45398741332933	30.0760172292321	1.96391648189991e-06	0.00113276135698495
comp9470_c0_seq1	3.15508019793881	-2.24655873273242	29.9085044102636	2.04389356010463e-06	0.00113276135698495
comp7559_c0_seq1	-3.83921999464295	-3.51417887493196	29.5003965451225	2.31681027224791e-06	0.00120634020188527
comp64_c0_seq1	-4.71551092988701	-2.22416347159	32.3909363044677	2.36592963419877e-06	0.00120634020188527
comp17529_c0_seq1	2.45750300098293	-1.99383035759272	29.0243005366336	2.68412045054577e-06	0.00124144367490279
comp14452_c0_seq1	3.38312216990908	-1.98575508244494	28.9169519854202	2.77507289337319e-06	0.00124144367490279
comp3387_c0_seq1	-1.27945887001457	0.751979000009022	28.9108615212923	2.78032893154236e-06	0.00124144367490279
comp24171_c0_seq1	-2.5234472187052	-2.80781546889871	28.8603314044983	2.82434036025581e-06	0.00124144367490279
comp54054_c0_seq1	-1.53540123103427	0.868285834191234	28.7152803532931	2.95478014615526e-06	0.00124466649919461
comp9052_c0_seq1	2.21324248423799	-1.53689176529663	28.6209988204054	3.0429359716067e-06	0.00124466649919461
comp131716_c0_seq1	-1.73836170422358	0.571505437099262	28.6615126600818	3.1398120311066e-06	0.00124466649919461
comp6114_c0_seq1	1.3805701549358	1.82937998910787	28.437754382362	3.22224793860691e-06	0.00124466649919461
comp22230_c0_seq1	-2.60635567763443	-1.65518371789903	28.9804232333254	3.59854099287793e-06	0.00134913535400632
comp8351_c0_seq1	-1.72360820976453	-1.90751666094601	27.8220607114639	3.91027477709386e-06	0.00142412207381758
comp8609_c0_seq1	1.94760521543696	0.115788521176889	27.5875681991244	4.21136044681736e-06	0.00146998482048304
comp16116_c0_seq1	2.25992198623365	-1.33040206363202	27.4752150581305	4.36413487987103e-06	0.00146998482048304
comp31906_c0_seq1	-2.49655065433213	-2.48710736870339	27.4622299017624	4.38216232669299e-06	0.00146998482048304
comp1232_c0_seq1	-2.29216522657338	-1.117968980026	28.2861759340121	4.54245465895114e-06	0.00148468383429872
comp77_c0_seq1	-2.85857593674706	-2.20828084669632	27.5027600687509	5.30724018990752e-06	0.00169128476751878
comp20081_c0_seq1	-1.66128047504764	-2.08356833354772	26.2607003558653	6.44003454400631e-06	0.00198371412673482
comp3791_c0_seq1	-1.16664397896701	-0.00712706965927134	26.1983271020167	6.57131500572465e-06	0.00198371412673482
comp25743_c0_seq1	2.64348901454821	-2.29929777313889	26.1422455282108	6.69174766216341e-06	0.00198371412673482
comp14614_c0_seq1	1.47929891870768	1.90525972078316	26.0096407220247	6.9858022990089e-06	0.00202381867966969
comp8073_c0_seq1	3.03405567301826	-2.01887287242572	25.8772903547626	7.2928215397369e-06	0.00206581324815614
comp627_c0_seq1	1.15441459258179	2.36530358400131	25.6520051560506	7.84837917351265e-06	0.00217485411575578
comp1935_c0_seq1	1.160509209091	1.40871837599034	25.5259983438049	8.17829195563474e-06	0.00221805718209523
comp8544_c0_seq1	-2.32971356585716	-1.08297187461295	26.1777679060513	8.77377397456309e-06	0.00224948381049165
comp847_c0_seq1	5.61106465626268	-0.426139544208202	28.1391207094296	8.82182148641293e-06	0.00224948381049165
comp5944_c0_seq1	1.86627410855266	-1.14053349232443	25.2805702208319	8.86328915946353e-06	0.00224948381049165
comp3446_c0_seq1	-1.34787215983217	0.47278105492418	25.1989745171162	9.1041314031129e-06	0.00224948381049165
comp12370_c0_seq1	1.22234580550769	1.39250580035817	25.1748898678026	9.17652452699189e-06	0.00224948381049165
comp4176_c0_seq1	1.02085856728944	2.08226910440511	24.8770120992745	1.01234577438347e-05	0.00243478709171058
comp4269_c0_seq1	1.73593417869418	-0.288288208329139	24.3381246892682	1.21060597051972e-05	0.00280693169516288
comp43811_c0_seq1	-1.21838575933408	0.680630463708072	24.2985049112202	1.22670452877862e-05	0.00280693169516288
comp2825_c0_seq1	1.27634257798094	2.77985192007406	24.2789657805375	1.23472625724954e-05	0.00280693169516288
comp7124_c0_seq1	-2.16038224605039	-1.59691233144399	24.5246790792587	1.25515891287585e-05	0.00280693169516288
comp15458_c0_seq1	1.90767494113752	-1.5324860847842	24.1573002277845	1.28592871825775e-05	0.00282616092614337
comp12379_c0_seq1	-1.40408722480437	0.373632691776311	24.0682249334941	1.3248240126744e-05	0.00284792524903086
comp5990_c0_seq1	2.09511584085219	-0.985712995149156	24.0330627109046	1.34051553261043e-05	0.00284792524903086
comp961_c0_seq1	1.51057294553686	-0.724114209324884	23.9467613566079	1.37985996452505e-05	0.00288345491275423
comp7991_c0_seq1	1.00387118564215	-0.522326047994891	23.6258880608019	1.53709208136373e-05	0.0031602117356683
comp6184_c0_seq1	-1.10304589213667	2.8964389850221	23.4286362418001	1.64297494225284e-05	0.00332428596649158
comp787_c0_seq1	1.89909421398854	-1.34628042078916	23.2565035114101	1.74162265000715e-05	0.00346882248744393
comp946_c0_seq1	-2.06149918071907	-1.14559845269575	23.4937343361522	1.93179897208312e-05	0.00378840638417592
comp182_c0_seq1	-1.93210254703472	-0.20867679025163	23.2780689966425	2.3339764889995e-05	0.00450775731898131
comp33836_c0_seq1	-1.75385076973339	-2.10559962649345	22.187806592711	2.51069800240576e-05	0.00477669663233824
comp11021_c0_seq1	6.07021091768469	-1.79327240348547	23.5511455503311	2.61209742484406e-05	0.0048575202606368
comp14309_c0_seq1	-2.58268321978382	0.00118149153153776	23.9610925193843	2.62939435148615e-05	0.0048575202606368
comp18204_c0_seq1	3.85269956168236	-2.98891520611431	21.5815611331349	3.09863772596723e-05	0.00547048614533021
comp11607_c0_seq1	2.62445525510391	-3.18392099744727	21.5697640252322	3.11141715453143e-05	0.00547048614533021
comp22073_c0_seq1	1.44703578117838	-0.362929880070362	21.5624602270536	3.11935681861604e-05	0.00547048614533021
comp973_c0_seq1	-2.95648815582096	0.955777779874083	23.713383218849	3.13285862249239e-05	0.00547048614533021
comp61984_c0_seq1	-1.85396423969706	-2.16307999184274	21.2317490828218	3.50207607444726e-05	0.00603256266499719
comp79800_c0_seq1	-2.1769274111627	-1.45242687772912	21.5524818789917	3.63510260588853e-05	0.00617822038896814
comp7330_c0_seq1	-1.29665712809857	-1.1873544957089	20.9424697892282	3.87724746800772e-05	0.0065030622993019
comp6166_c0_seq1	-3.09663735355219	-2.03701136378624	21.9894934528606	4.10203102345072e-05	0.00676992141129529
comp34291_c0_seq1	1.64775049128343	-1.72010900253006	20.7425194264255	4.16104408644288e-05	0.00676992141129529
comp6591_c0_seq1	-1.14137707168126	1.30163812113637	20.7190988738223	4.19568362353752e-05	0.00676992141129529
comp14782_c0_seq1	2.41080008548764	-2.50168182090697	20.637895455639	4.31814657710057e-05	0.00681035426010348
comp4798_c0_seq1	1.07845536668358	-0.560029620061393	20.6317302123371	4.3275962584795e-05	0.00681035426010348
